Years!Euribor 3 months!Euribor 6 months!Euribor 12 months
1999!3,34!3,52!3,88
2000!4,86!4,83!4,75
2001!3,29!3,26!3,34
2002!2,87!2,8!2,75
2003!2,12!2,17!2,31
2004!2,16!2,22!2,36
2005!2,49!2,64!2,84
2006!3,73!3,85!4,03
2007!4,68!4,71!4,75
2008!2,89!2,97!3,05
2009!0,7!0,99!1,25
2010!1,01!1,23!1,51
2011!1,36!1,62!1,95
2012!0,19!0,32!0,54
2013!0,29!0,39!0,56
2014!0,08!0,17!0,33
2015!-0,13!-0,04!0,06
2016!-0,32!-0,22!-0,08
2017!-0,33!-0,27!-0,19
