Chinese,Founded  (PRC)
京山市,2018-05-18
荆州市,1994-09-29
老河口市,1979-11-16
利川市,1986-05-27
麻城市,1986-05-27
潜江市,1988-05-25
石首市,1986-05-27
十堰市,1973-02-17
随州市,2000-06-25
松滋市,1995-12-29
天门市,1987-08-03
武汉市,1954-06-19
武穴市,1987-10-23
襄阳市,1979-06-21
咸宁市,1998-12-06
仙桃市,1986-05-27
孝感市,1993-04-10
宜昌市,1979-06-21
宜城市,1994-06-10
宜都市,1987-11-30
应城市,1986-05-27
枣阳市,1988-01-08
枝江市,1996-07-30
钟祥市,1992-05-20
常德市,1988-01-23
常宁市,1996-11-26
长沙市,1949-10-01
郴州市,1994-12-17
衡阳市,1980-02-20
洪江市,1979-09-01
怀化市,1997-11-29
津市市,1979-12-19
吉首市,1982-08-03
耒阳市,1986-11-11
冷水江市,1983-07-13
涟源市,1987-06-10
醴陵市,1985-05-24
临湘市,1992-09-01
浏阳市,1993-01-16
娄底市,1999-01-20
汨罗市,1987-09-23
宁乡市,2017-04-09
韶山市,1990-12-26
邵阳市,1980-02-20
武冈市,1994-02-18
湘潭市,1980-02-20
湘乡市,1986-09-12
益阳市,1994-03-07
永州市,1995-11-21
沅江市,1988-10-11
岳阳市,1983-02-08
张家界市,1988-05-18
株洲市,1956-11-30
资兴市,1984-12-20
阿尔山市,1996-06-10
包头市,1950-02-13
巴彦淖尔市,2003-12-01
赤峰市,1983-10-10
二连浩特市,1966-01-18
额尔古纳市,1994-07-13
丰镇市,1990-11-15
根河市,1994-04-28
呼和浩特市,1950-01-18
霍林郭勒市,1985-11-09
呼伦贝尔市,2001-10-10
满洲里市,1954-05-21
鄂尔多斯市,2001-02-26
通辽市,1999-01-13
乌兰浩特市,1980-07-26
乌兰察布市,2003-12-01
乌海市,1975-08-30
锡林浩特市,1983-10-10
牙克石市,1983-10-10
扎兰屯市,1983-10-10
常熟市,1983-01-18
常州市,1962-06-25
丹阳市,1987-12-15
东台市,1987-12-17
高邮市,1991-02-06
海安市,2018-05-11
海门市,1994-04-26
淮安市,1983-01-18
江阴市,1987-04-23
靖江市,1993-07-14
句容市,1995-04-06
溧阳市,1990-08-15
连云港市,1962-06-25
昆山市,1989-07-27
南京市,1953-12-17
南通市,1962-06-25
邳州市,1992-07-07
启东市,1989-11-13
如皋市,1991-02-06
宿迁市,1996-07-19
苏州市,1962-06-25
太仓市,1993-01-08
泰兴市,1992-09-21
泰州市,1996-07-19
无锡市,1949-10-01
兴化市,1987-12-22
新沂市,1990-02-05
徐州市,1962-06-25
盐城市,1983-01-18
扬中市,1994-05-18
扬州市,1983-01-18
宜兴市,1988-01-09
仪征市,1986-04-21
张家港市,1986-09-16
镇江市,1983-01-18
德兴市,1990-12-26
丰城市,1988-10-04
抚州市,2000-06-23
赣州市,1998-12-24
高安市,1993-12-08
共青城市,2010-09-10
贵溪市,1996-05-28
吉安市,2000-05-11
景德镇市,1953-06-15
井冈山市,1984-12-13
九江市,1980-03-28
乐平市,1992-07-27
庐山市,2016-03-20
南昌市,1949-10-01
萍乡市,1970-03-10
瑞昌市,1989-12-20
瑞金市,1994-05-18
上饶市,2000-06-23
新余市,1983-07-27
宜春市,2000-05-22
鹰潭市,1983-07-27
樟树市,1988-10-13
白城市,1993-06-14
白山市,1985-02-04
长春市,1954-06-19
大安市,1988-08-30
德惠市,1994-07-06
敦化市,1985-02-28
扶余市,2013-01-24
公主岭市,1985-12-19
和龙市,1993-07-05
桦甸市,1988-05-25
珲春市,1988-05-25
集安市,1988-03-16
蛟河市,1989-08-15
吉林市,1949-10-01
辽源市,1983-08-30
临江市,1993-11-28
龙井市,1988-05-25
梅河口市,1985-12-19
磐石市,1995-08-30
双辽市,1996-04-29
舒兰市,1992-10-08
四平市,1983-08-30
松原市,1992-06-06
洮南市,1987-05-21
通化市,1985-02-04
图们市,1965-03-27
延吉市,1953-05-04
榆树市,1990-12-26
鞍山市,1954-06-19
本溪市,1954-06-19
北票市,1985-01-17
北镇市,1995-03-21
朝阳市,1984-06-30
大连市,1954-06-19
丹东市,1949-10-01
大石桥市,1992-11-03
灯塔市,1996-08-27
调兵山市,1986-09-12
东港市,1993-06-18
凤城市,1994-03-08
抚顺市,1954-06-19
阜新市,1949-10-01
盖州市,1992-11-03
海城市,1985-01-17
葫芦岛市,1989-06-12
锦州市,1949-10-01
开原市,1988-12-27
辽阳市,1965-12-27
凌海市,1993-11-16
凌源市,1991-12-21
盘锦市,1984-06-05
沈阳市,1954-06-19
铁岭市,1984-06-30
瓦房店市,1985-01-17
兴城市,1986-09-12
新民市,1993-06-14
营口市,1949-10-01
庄河市,1992-09-21
固原市,2001-07-07
灵武市,1996-04-29
青铜峡市,1984-12-17
石嘴山市,1975-11-23
吴忠市,1998-05-11
银川市,1958-08-11
中卫市,2003-12-31
德令哈市,1988-04-19
格尔木市,1980-06-14
海东市,2013-02-08
西宁市,1956-07-14
玉树市,2013-07-04
安康市,2000-06-23
宝鸡市,1971-10-05
彬州市,2018-05-04
韩城市,1983-09-09
汉中市,1996-02-21
华阴市,1990-12-27
商洛市,2001-08-31
神木市,2017-04-09
铜川市,1966-06-24
渭南市,1983-09-09
西安市,1954-06-19
咸阳市,1983-09-09
兴平市,1993-06-18
延安市,1996-11-05
榆林市,1999-12-05
安丘市,1994-01-18
滨州市,2000-06-10
昌邑市,1994-06-10
德州市,1994-12-17
东营市,1982-11-10
肥城市,1992-08-01
高密市,1994-05-18
海阳市,1996-04-29
菏泽市,2000-06-23
胶州市,1987-02-12
济南市,1949-10-01
济宁市,1983-08-30
莱芜市,1992-11-22
莱西市,1990-12-18
莱阳市,1987-02-20
莱州市,1988-02-24
乐陵市,1988-09-01
聊城市,1997-08-29
临清市,1983-08-30
临沂市,1994-12-17
龙口市,1986-09-23
蓬莱市,1991-11-30
平度市,1989-07-27
青岛市,1949-10-01
青州市,1986-03-01
栖霞市,1995-11-30
曲阜市,1986-06-02
日照市,1989-06-12
荣成市,1988-11-01
乳山市,1993-07-17
寿光市,1993-06-01
泰安市,1985-03-27
滕州市,1988-03-07
潍坊市,1983-08-30
威海市,1987-06-15
新泰市,1983-08-30
烟台市,1983-08-30
禹城市,1993-09-09
枣庄市,1961-09-12
招远市,1991-12-21
诸城市,1987-04-20
淄博市,1961-09-12
邹城市,1992-10-04
长治市,1975-07-09
大同市,1972-03-09
汾阳市,1996-08-20
高平市,1993-05-12
古交市,1988-02-24
河津市,1994-01-12
侯马市,1971-06-05
霍州市,1989-12-23
介休市,1992-02-10
晋城市,1985-04-30
晋中市,1999-09-24
临汾市,2000-06-23
潞城市,1994-04-26
吕梁市,2003-10-23
朔州市,1988-03-24
太原市,1949-10-01
孝义市,1992-02-10
忻州市,2000-06-14
阳泉市,1972-03-09
永济市,1994-01-12
运城市,2000-06-14
原平市,1993-06-17
马尔康市,2015-11-02
巴中市,2000-06-14
成都市,1949-10-01
崇州市,1994-06-20
达州市,1999-06-20
德阳市,1983-08-18
都江堰市,1988-03-03
峨眉山市,1988-09-01
广安市,1998-07-31
广汉市,1988-02-24
广元市,1985-02-08
华蓥市,1985-02-04
江油市,1988-02-24
简阳市,1994-04-05
康定市,2015-02-17
阆中市,1991-01-12
乐山市,1985-02-11
隆昌市,2017-04-09
泸州市,1983-03-03
绵竹市,1996-10-15
眉山市,2000-06-10
绵阳市,1985-02-08
南充市,1993-07-02
内江市,1985-02-11
攀枝花市,1965-04-22
彭州市,1993-12-01
邛崃市,1994-06-19
什邡市,1995-11-08
遂宁市,1985-02-08
万源市,1993-07-14
西昌市,1979-07-19
雅安市,2000-06-14
宜宾市,1996-10-05
自贡市,1949-10-01
资阳市,2000-06-14
拉萨市,1960-01-07
那曲市,2017-07-18
林芝市,2015-03-16
昌都市,2014-10-29
山南市,2016-01-07
日喀则市,2014-06-26
阿克苏市,1983-08-19
阿拉山口市,2012-12-17
阿勒泰市,1984-11-17
阿拉尔市,2002-09-17
阿图什市,1986-06-07
北屯市,2011-12-27
博乐市,1985-06-24
昌吉市,1983-07-21
阜康市,1992-11-03
哈密市,2016-01-07
和田市,1983-09-09
克拉玛依市,1982-02-16
喀什市,1952-05-22
霍尔果斯市,2014-06-26
可克达拉市,2015-03-16
库尔勒市,1979-09-02
奎屯市,1975-08-29
昆玉市,2016-01-07
石河子市,1976-01-02
双河市,2014-01-25
塔城市,1984-11-17
铁门关市,2012-12-17
图木舒克市,2002-09-17
吐鲁番市,2015-03-16
乌鲁木齐市,1949-10-01
五家渠市,2002-09-17
乌苏市,1996-07-10
伊宁市,1952-05-22
安宁市,1995-10-13
保山市,2000-12-30
楚雄市,1983-09-09
大理市,1983-09-09
个旧市,1958-09-16
景洪市,1993-12-22
开远市,1981-01-18
昆明市,1949-10-01
临沧市,2003-12-26
丽江市,2002-12-26
泸水市,2016-06-16
芒市,1996-10-28
蒙自市,2010-09-10
弥勒市,2013-01-24
普洱市,2003-10-30
曲靖市,1997-05-06
瑞丽市,1992-06-26
香格里拉市,2014-12-16
腾冲市,2015-08-01
文山市,2010-12-02
宣威市,1994-02-18
玉溪市,1997-12-13
昭通市,2001-01-13
慈溪市,1988-10-13
东阳市,1988-05-25
海宁市,1986-11-22
杭州市,1949-10-01
湖州市,1983-07-27
建德市,1992-04-01
江山市,1987-11-27
嘉兴市,1983-07-27
金华市,1985-05-15
兰溪市,1985-05-15
临海市,1986-03-01
丽水市,2000-05-20
龙泉市,1990-12-26
宁波市,1949-12-20
平湖市,1991-06-15
衢州市,1985-05-15
瑞安市,1987-04-15
绍兴市,1983-07-27
嵊州市,1995-08-30
台州市,1994-08-22
桐乡市,1993-03-26
温岭市,1994-02-18
温州市,1949-11-06
义乌市,1988-05-25
永康市,1992-08-24
乐清市,1993-09-18
玉环市,2017-04-09
余姚市,1985-07-16
舟山市,1987-01-23
诸暨市,1989-09-27
